,hive_id,inspection_date,frames_of_bees,hive_grading_raw,hive_status_raw,hive_state,queen_present,varroa_count
124,3690,2022-09-21 15:45:49.317999+00:00,,,,,True,
125,3690,2022-09-29 21:46:36.160584+00:00,,,,,True,
126,3690,2022-09-30 21:15:15.052827+00:00,,medium,,medium,True,0.0
127,3690,2022-11-11 19:04:04.191194+00:00,,,,,True,
128,3690,2023-04-12 15:17:33.116684+00:00,,,deadout,,,
129,3691,2022-06-02 17:24:18.424309+00:00,,medium,,medium,,
130,3691,2022-06-14 15:37:36.779545+00:00,,,queenright,,True,
131,3691,2022-06-20 20:48:05.628506+00:00,,medium,,medium,True,
132,3691,2022-06-27 16:45:36.225356+00:00,,strong,queenright,strong,True,
133,3691,2022-07-04 21:56:09.979564+00:00,,strong,,strong,True,
134,3691,2022-07-11 20:35:41.044615+00:00,20.0,strong,queenright,strong,True,
135,3691,2022-07-19 22:29:27.082955+00:00,16.0,,,,True,
136,3691,2022-08-04 12:54:07.298692+00:00,,pulled honey super,,,True,
137,3691,2022-08-04 13:30:48.016327+00:00,,,,,True,
138,3691,2022-08-19 18:31:55.462774+00:00,20.0,medium,queenright,medium,True,
139,3691,2022-08-24 20:53:05.475343+00:00,,,,,True,14.0
140,3691,2022-09-01 23:11:04.071552+00:00,,,,,True,
141,3691,2022-09-07 22:23:14.055937+00:00,3.0,,,,True,
142,3691,2022-09-07 22:55:35.770404+00:00,,,,,True,
143,3691,2022-09-15 20:45:02.800895+00:00,,,,,True,
144,3691,2022-09-21 15:45:49.317999+00:00,,,,,True,
145,3691,2022-09-30 21:47:53.014515+00:00,,,,,True,0.0
146,3691,2023-04-12 15:16:55.932263+00:00,,medium,queenright,medium,True,
147,3692,2022-06-02 17:20:39.867942+00:00,,medium,queenright,medium,True,
148,3692,2022-06-20 20:48:05.628506+00:00,,medium,,medium,True,
149,3692,2022-07-04 21:52:07.878270+00:00,,strong,,strong,True,
150,3692,2022-07-11 20:23:05.641387+00:00,13.0,medium,queenless,medium,False,
151,3692,2022-07-19 21:32:34.257822+00:00,,weak,queenless,weak,False,
152,3692,2022-07-27 21:10:03.098760+00:00,,medium,queenright,medium,True,
153,3692,2022-08-04 12:54:07.298692+00:00,,pulled honey super,,,True,
154,3692,2022-08-04 13:30:48.016327+00:00,,,,,True,
155,3692,2022-08-19 17:56:23.295758+00:00,14.0,medium,queenright,medium,True,
156,3692,2022-08-24 20:16:33.633384+00:00,,,,,True,1.0
157,3692,2022-08-24 21:32:06.649733+00:00,,,,,True,
158,3692,2022-09-01 23:11:04.071552+00:00,,,,,True,
159,3692,2022-09-07 22:25:48.408544+00:00,3.0,,,,True,
160,3692,2022-09-15 20:45:02.800895+00:00,,,,,True,
161,3692,2022-09-21 15:45:49.317999+00:00,,,,,True,
162,3692,2022-09-29 21:46:36.160584+00:00,,,,,True,
163,3692,2023-04-12 15:03:18.267159+00:00,,medium,queenright,medium,True,
164,3693,2022-06-02 17:13:07.060900+00:00,,,queenless,,False,
165,3693,2022-06-02 17:23:44.205093+00:00,,,queenless,,False,
166,3693,2022-06-07 20:24:42.635938+00:00,,strong,queenless,strong,False,
167,3693,2022-06-14 15:42:02.732891+00:00,,medium,queenright,medium,True,
168,3693,2022-06-20 20:38:26.223841+00:00,,medium,,medium,True,
169,3693,2022-06-27 16:50:25.466439+00:00,,medium,,medium,True,
170,3693,2022-07-04 22:11:01.599247+00:00,,medium,queenright,medium,True,
171,3693,2022-07-11 20:59:34.350173+00:00,15.0,medium,queenright,medium,True,
172,3693,2022-07-19 21:55:35.976355+00:00,,,queenright,,True,
173,3693,2022-08-04 12:54:07.298692+00:00,,pulled honey super,,,True,
174,3693,2022-08-19 18:55:29.562608+00:00,20.0,medium,queenright,medium,True,
175,3693,2022-08-24 21:36:54.773609+00:00,,,,,True,4.0
176,3693,2022-09-01 23:11:04.071552+00:00,,,,,True,
177,3693,2022-09-07 22:18:47.996800+00:00,5.5,,,,True,
178,3693,2022-09-07 22:55:35.770404+00:00,,,,,True,
179,3693,2022-09-15 20:45:02.800895+00:00,,,,,True,
180,3693,2022-09-21 15:45:49.317999+00:00,,,,,True,
181,3693,2022-09-29 21:46:36.160584+00:00,,,,,True,
182,3693,2022-09-30 21:21:58.316200+00:00,,medium,,medium,True,1.0
183,3693,2023-04-12 15:17:15.985542+00:00,,medium,queenright,medium,True,
